L/R1,AR,cp
21.030,9.970,0.700
19.980,9.170,0.700
18.750,8.230,0.700
17.590,7.440,0.700
16.300,6.520,0.700
15.050,5.720,0.700
14.170,5.090,0.700
13.460,4.630,0.700
12.670,4.080,0.700
12.080,3.640,0.700
11.740,3.360,0.700
11.630,3.130,0.700
11.850,2.940,0.700
12.510,2.840,0.700
13.590,2.740,0.700
14.860,2.720,0.700
16.720,2.690,0.700
19.170,2.710,0.700
22.700,2.760,0.700
26.200,2.810,0.700
29.950,2.860,0.700
35.010,2.960,0.700
40.020,3.110,0.700
44.600,3.210,0.700
50.330,3.340,0.700
24.660,9.990,0.750
22.990,8.920,0.750
21.500,7.970,0.750
19.980,7.150,0.750
18.570,6.360,0.750
17.370,5.650,0.750
16.350,4.990,0.750
15.890,4.590,0.750
15.990,4.210,0.750
16.510,3.890,0.750
17.820,3.670,0.750
19.170,3.530,0.750
21.570,3.460,0.750
24.500,3.470,0.750
27.570,3.520,0.750
31.610,3.630,0.750
36.030,3.790,0.750
40.790,3.970,0.750
45.460,4.120,0.750
50.010,4.270,0.750
33.270,9.990,0.800
31.610,9.000,0.800
30.330,8.230,0.800
29.190,7.570,0.800
28.460,7.100,0.800
27.570,6.610,0.800
27.310,6.140,0.800
28.280,5.800,0.800
29.480,5.530,0.800
30.820,5.370,0.800
33.800,5.410,0.800
37.790,5.460,0.800
40.270,5.530,0.800
43.470,5.730,0.800
46.330,5.900,0.800
50.010,6.150,0.800
